,mean,std,var,min,q25,median,q75,max
AHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHF20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PURA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RARB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RELB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFX4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFXAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RORB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUNX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUNX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHOX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMAD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMAD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMAD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMAD9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMARCC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POU2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOX6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEG3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFE2L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFE2L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFE2L3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFKB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFYC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR1D2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR2C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR2F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR3C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR5A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ONECUT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OVOL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PATZ1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAX5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAX6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOX17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOX8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB7A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZFHX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZFP30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZIC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF286A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF354C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF518A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF75A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YY2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOX9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SREBF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
