,mean,std,var,min,q25,median,q75,max
ZNF286A,0.06149936295415182,0.14047689254364434,0.019733757338718603,0.0,0.0,0.0,0.0,0.9685792349726776
TCF4,0.47185743674008085,0.12882099647508166,0.016594849132833,0.0,0.4098360655737705,0.5129022465088039,0.5496357012750456,0.8415300546448088
ILF2,0.09364606333919324,0.1274957013875885,0.01625515387231314,0.0,0.0,0.0,0.2226775956284153,0.8233151183970856
PBX1,0.44792522160668075,0.12358897996239251,0.015274235968144659,0.0,0.3726210665159223,0.4660354249104956,0.5385811192764274,0.7614471452798192
RFX4,0.1158199357225394,0.1170598749324997,0.013703014319212472,0.0,0.0,0.1065573770491803,0.1877049180327868,0.7740437158469945
ZNF257,0.039444181424214846,0.08844543413674864,0.007822594819637941,0.0,0.0,0.0,0.0,0.8524590163934426
ZNF615,0.11024522433607475,0.08462894626596176,0.0071620585460870426,0.0,0.0327868852459016,0.1154371584699453,0.1580145719489981,0.6070127504553734
ZNF200,0.07028024762626384,0.08424806436060638,0.007097736348508874,0.0,0.0,0.0316484517304189,0.1311475409836065,0.7083333333333334
TFAP2C,0.08307112344022004,0.08256041712147388,0.006816222475271759,0.0,0.0,0.0614754098360655,0.1311475409836065,0.5196379781420765
ZNF777,0.03196888566829517,0.07811788596470372,0.006102404107594455,0.0,0.0,0.0,0.0,0.6898907103825137
SKI,0.06314639506072565,0.07569411168858721,0.005729598544324315,0.0,0.0,0.0355191256830601,0.1116803278688524,0.6212431693989071
MEIS2,0.10494474448897065,0.07174865801599652,0.0051478699270964216,0.0,0.0486835568802781,0.0963735717834078,0.151639344262295,0.4388971684053651
HSF5,0.09186008648881924,0.06304806463992683,0.003975058454840393,0.0,0.0290300546448087,0.1118510928961748,0.1229508196721311,0.4680669398907104
ZNF577,0.05423315542961043,0.06237404189094151,0.0038905211018129267,0.0,0.0,0.0355191256830601,0.0910746812386156,0.4756375227686703
GTF2IRD1,0.029372685614746808,0.060502937684473186,0.0036606054684512456,0.0,0.0,0.0,0.0060109289617486,0.6213114754098361
PBX3,0.06497715055782466,0.05887023933019134,0.0034657050787940073,0.0,0.0191256830601092,0.0570127504553734,0.0919854280510018,0.5020947176684881
RXRB,0.057088799155140875,0.056858243869909106,0.003232859895970056,0.0,0.0,0.0570044709388971,0.086562344759066,0.4939145553899652
SP2,0.041458026440701144,0.0563127423351015,0.0031711249492995326,0.0,0.0,0.0,0.0775273224043715,0.4513319672131147
YY2,0.023675676009110948,0.05500692494158873,0.0030257617915295763,0.0,0.0,0.0,0.0,0.5467213114754098
PEG3,0.030917199803817165,0.05495841404890559,0.0030204272747709434,0.0,0.0,0.0,0.0529371584699453,0.5522540983606558
PRRX1,0.019838760806971677,0.05214038564553896,0.002718619815265525,0.0,0.0,0.0,0.0,0.476775956284153
KMT2B,0.08214167701279534,0.051913835916175814,0.0026950463595316262,0.0,0.0561247723132969,0.0793488160291439,0.1141848816029143,0.4032331511839708
BHLHE22,0.035227202602267554,0.05119827642311774,0.002621263508697974,0.0,0.0,0.0,0.0788446526151444,0.3639734582357533
SOX8,0.025822639319188264,0.05112720567084003,0.002613991159708377,0.0,0.0,0.0,0.0125227686703096,0.5102459016393442
MSX2,0.0558583841161275,0.05002693244815877,0.002502693970172641,0.0,0.0123754419800707,0.0510286081645773,0.0852619736419157,0.3431372549019608
MXD1,0.04203421530499006,0.049944941373645385,0.0024944971688168746,0.0,0.0,0.0214480874316939,0.0721311475409836,0.4217213114754098
MEOX2,0.06391164842811735,0.04938376750710793,0.0024387564931960884,0.0,0.0302703480011504,0.0531348863963186,0.0927523727351164,0.4150848432556802
HNF4G,0.032197471158700586,0.04819080241623966,0.0023223534375210503,0.0,0.0,0.0,0.0634486945962355,0.3929872495446266
MAFF,0.06491022830133575,0.046963685454978296,0.00220558775151414,0.0,0.0328462817771442,0.0593371347113328,0.0917082442385364,0.5882038488952245
ZBTB44,0.02622215483935231,0.046627184742955116,0.0021740943570536663,0.0,0.0,0.0,0.040983606557377,0.4298155737704918
EMX2,0.02980535210755167,0.046274902351820864,0.0021413665876705563,0.0,0.0,0.0,0.0575478142076502,0.4228142076502732
IKZF5,0.029975108676474762,0.0460919415426423,0.0021244670751703544,0.0,0.0,0.0,0.057889344262295,0.3876366120218579
POU2F1,0.18495299862342704,0.045718587707847515,0.002090189262000146,0.0134718389871774,0.1553319266352864,0.1892279391873613,0.2184033977168208,0.315492614835254
ZNF250,0.01864446456077991,0.04551678585252827,0.0020717777943449174,0.0,0.0,0.0,0.0,0.5098360655737705
ING4,0.038092854308668295,0.04452136344174656,0.0019821518027120866,0.0,0.0,0.0279078844652615,0.0620608899297423,0.399687743950039
CEBPG,0.05588453158929399,0.043736985940205496,0.001912923939133733,0.0,0.0222597235615557,0.0510286081645773,0.0847798135647701,0.3284313725490196
TFDP2,0.021465575808725185,0.04328928534371909,0.0018739622255699328,0.0,0.0,0.0,0.0097580015612802,0.419984387197502
MTF1,0.08167601459411004,0.042171739638262276,0.0017784556241173814,0.0,0.0636612021857923,0.066575591985428,0.1061930783242258,0.3544626593806921
VAX1,0.0294028915318852,0.0421669861221915,0.0017780547186290903,0.0,0.0,0.0,0.059612518628912,0.3674863387978142
ZNF75A,0.017385189765906656,0.041877120602371275,0.0017536932299455487,0.0,0.0,0.0,0.0,0.4269125683060109
MEIS1,0.10993268059711334,0.04178800002412291,0.0017462369460160966,0.0,0.0803734061930783,0.1109810044236273,0.140775435857403,0.2465846994535519
ZNF441,0.03391951591128326,0.041367010314217204,0.0017112295423365525,0.0,0.0,0.0206435944140862,0.0535822707953855,0.3570127504553734
PATZ1,0.025614705311582622,0.040960363696476404,0.0016777513941476222,0.0,0.0,0.0,0.0476624165148755,0.3545840922890103
ZNF436,0.0457568225011099,0.040190858652999026,0.0016153051192653468,0.0,0.0073339085418464,0.0417026171987345,0.0700316364682197,0.4788610871440897
KLF4,0.03236804528296394,0.04006318873325426,0.001605059091476351,0.0,0.0,0.0209471766848816,0.0521857923497267,0.4407103825136612
ZFHX3,0.016563283846283153,0.03944285249193139,0.0015557386127002585,0.0,0.0,0.0,0.0,0.3914910226385636
